"Add Account","Agregar cuenta"
"Please select Account type and click <strong>Continue</strong> to connect your TikTok Shop Account. Once M2E TikTok Shop Connect is authorized to access your account, you'll be redirected back to the application","Por favor, selecciona el tipo de cuenta y haz clic en <strong>Continuar</strong> para conectar tu cuenta de TikTok Shop. Una vez que M2E TikTok Shop Connect esté autorizado para acceder a tu cuenta, serás redirigido de vuelta a la aplicación"
"Select type of the Account you would like to connect:","Seleccione el tipo de cuenta que desea conectar:"
"The TikToks Shop token obtaining is currently unavailable. Please try again later.","La obtención del token de TikToks Shop no está disponible actualmente. Inténtalo de nuevo más tarde."
"Create First Listing","Crear Primera Lista"
"Skip","Saltar"
"In this section, you can configure the general settings for the interaction between M2E TikTok Shop Connect and TikTok Shop Shops.<br><br>Anytime you can change these settings under <b>TikTok Shop > Configuration > General</b>.","En esta sección, puedes configurar los ajustes generales para la interacción entre M2E TikTok Shop Connect y las tiendas de TikTok Shop.<br><br>En cualquier momento puedes cambiar estos ajustes en <b>TikTok Shop > Configuración > General</b>."
"Shipping Mapping","Mapas de envío"
"M2E TikTok Shop Connect is disabled. Inventory and Order synchronization is not running. The Module interface is unavailable.<br>You can enable the Module under <i>Stores > Settings > Configuration > M2E TikTok Shop Connect > Module</i>.","M2E TikTok Shop Connect está deshabilitado. La sincronización de inventario y pedidos no se está ejecutando. La interfaz del Módulo no está disponible.<br>Puedes habilitar el Módulo en <i>Tiendas > Configuración > M2E TikTok Shop Connect > Módulo</i>."
"<p>M2E TikTok Shop Connect interface cannot work properly and there is no way to work with it correctly, as your Magento is set to the Production Mode and the static content data was not deployed.</p>","<p>La interfaz de M2E TikTok Shop Connect no puede funcionar correctamente y no hay manera de trabajar con ella adecuadamente, ya que tu Magento está configurado en el Modo de Producción y los datos de contenido estático no han sido desplegados.</p>"
"<p>Static content data was not deployed during the last M2E TikTok Shop Connect installation/upgrade. It may affect some elements of your Magento user interface.</p><p>Please follow <a href=""%1"" target=""_blank"">these instructions</a> to deploy static view files.</p><a href=""%2"">Don't Show Again</a><br>","<p>Los datos de contenido estático no se desplegaron durante la última instalación/actualización de M2E TikTok Shop Connect. Esto puede afectar algunos elementos de la interfaz de usuario de Magento.</p><p>Por favor, sigue <a href=""%1"" target=""_blank"">estas instrucciones</a> para desplegar los archivos de vista estáticos.</p><a href=""%2"">No mostrar de nuevo</a><br>"
"title","título"
"text","texto"
"Automatic Synchronization is disabled. You can enable it under <i>Stores > Settings > Configuration > M2E TikTok Shop Connect > Module & Channels > Automatic Synchronization</i>.","La Sincronización Automática está deshabilitada. Puedes habilitarla en <i>Tiendas > Configuración > M2E TikTok Shop Connect > Módulo y Canales > Sincronización Automática</i>."
"Attention! AUTOMATIC Synchronization is not running at the moment. It does not allow M2E TikTok Shop Connect to work correctly.<br/>Please check this <a href=""%1"" target=""_blank"" class=""external-link"">article</a> for the details on how to resolve the problem.","¡Atención! La Sincronización AUTOMÁTICA no está en funcionamiento en este momento. Esto impide que M2E TikTok Shop Connect funcione correctamente.<br/>Por favor, consulta este <a href=""%1"" target=""_blank"" class=""external-link"">artículo</a> para obtener detalles sobre cómo resolver el problema."
"M2E TikTok Shop Connect Module requires activation. Go to the <a href=""%1"" target =""_blank"">License Page</a>.","El Módulo M2E TikTok Shop Connect requiere activación. Ve a la <a href=""%1"" target =""_blank"">Página de Licencias</a>."
"M2E TikTok Shop Connect License Key Validation is failed for this Domain. Go to the <a href=""%1"" target=""_blank"">License Page</a>.","La validación de la clave de licencia de M2E TikTok Shop Connect ha fallado para este dominio. Ve a la <a href=""%1"" target=""_blank"">Página de Licencias</a>."
"M2E TikTok Shop Connect License Key Validation is failed for this IP. Go to the <a href=""%1"" target=""_blank"">License Page</a>.","La validación de la clave de licencia de M2E TikTok Shop Connect ha fallado para esta IP. Ve a la <a href=""%1"" target=""_blank"">Página de licencia</a>."
"Step is invalid","Paso no válido"
"Status is invalid","Estado no válido"
"Control Panel","Panel de control"
"Changed.","Cambiado."
"Extension upgrade was completed.","Se ha completado la actualización de la extensión."
"Help Center","Centro de Ayuda"
"Health Status","Estado de salud"
"Settings are saved.","Se guardan los ajustes."
"Please select Item(s) to clear.","Seleccione los artículos que desea borrar."
"The Listing(s) Log was cleared.","El registro de lista(s) fue limpiado."
"Params not valid.","Parámetros no válidos."
"Products were not Moved. <a target=""_blank"" href=""%url"">View Log</a> for details.","Los productos no fueron movidos. <a target=""_blank"" href=""%url"">Ver el registro</a> para más detalles."
"%errors_count product(s) were not Moved. Please <a target=""_blank"" href=""%url"">view Log</a> for the details.","%errors_count producto(s) no fueron movidos. Por favor, <a target=""_blank"" href=""%url"">consulta el registro</a> para más detalles."
"Product(s) was Moved.","Producto(s) movido(s)."
"Only Linked Products must be selected.","Sólo deben seleccionarse los Productos vinculados."
"Magento product not found. Please reload the page.","Producto Magento no encontrado. Por favor, vuelva a cargar la página."
"Set Your Categories","Establecer sus categorías"
"TikTokShop Category is not set for some Products.","TikTokShop Categoría no se establece para algunos productos."
"Required attributes is not set for some TikTokShop Category","Atributos requeridos no se establece para algunos TikTokShop Categoría"
"Set Category (All Products same Category)","Establecer categoría (todos los productos de la misma categoría)"
"Set Category (Manually for each Product)","Establecer categoría (manualmente para cada producto)"
"Cannot start Wizard, Listing ID must be provided first.","No se puede iniciar el asistente, primero se debe proporcionar el ID de la lista."
"Products were not moved because they already exist in the selected Listing or do not belong to the channel account or marketplace of the listing.","Los productos no se han movido porque ya existen en el listado seleccionado o no pertenecen a la cuenta de canal o marketplace del listado."
"Some products were not moved because they already exist in the selected Listing or do not belong to the channel account or marketplace of the listing.","Algunos productos no se han movido porque ya existen en el Listado seleccionado o no pertenecen a la cuenta del canal o marketplace del listado."
"Cannot access Wizard, Wizard ID is missing.","No se puede acceder al Asistente, falta el ID del Asistente."
"Wizard not found.","Asistente no encontrado."
"Select Magento Products","Seleccionar productos Magento"
"Add Magento Products","Añadir productos Magento"
"Congratulations","Felicidades"
"Please complete the current step to proceed.","Por favor, complete el paso actual para continuar."
"M2E TikTok Shop Connect is currently under maintenance","M2E TikTok Shop Connect está actualmente en mantenimiento"
"Please specify Required Options.","Por favor, especifique las opciones requeridas."
"Order Item was Linked.","Artículo del pedido fue vinculado."
"Order Item Options were configured.","Se han configurado las opciones del artículo del pedido."
"Order Items does not exist.","Los artículos del pedido no existen."
"Linking Product ""%title""","Vinculando producto ""%title"""
"Setting Product Options","Configurar opciones de producto"
"Product does not have Required Options.","El producto no tiene opciones requeridas."
"Order Cancellation Request was not accepted. Reason: %reason","La solicitud de cancelación de pedido no ha sido aceptada. Motivo: %reason"
"Order Cancellation Request was accepted.","Se ha aceptado la solicitud de anulación de pedido."
"Order Cancellation Request was not accepted.","Solicitud de cancelación de pedido no fue aceptada."
"The request is missing one or more required parameters.","A la solicitud le faltan uno o más parámetros obligatorios."
"The specified order entity was not found.","No se ha encontrado la entidad de pedido especificada."
"Order Cancellation Request was not declined. Reason: %reason","Solicitud de cancelación de pedido no fue rechazada. Motivo: %reason"
"Order Cancellation Request was declined.","Solicitud de cancelación de pedido fue rechazada."
"Order Cancellation Request was not declined.","La solicitud de cancelación de pedido no ha sido rechazada."
"-- Please select --","-- Seleccionar, por favor --"
"Please select Order(s).","Por favor, seleccione pedido(s)."
"QTY reserve for selected Order(s) was canceled.","Se ha cancelado la reserva de QTY para el/los Pedido(s) seleccionado(s)."
"QTY reserve for selected Order(s) was not canceled.","No se ha cancelado la reserva de QTY para el/los Pedido(s) seleccionado(s)."
"QTY reserve for selected Order(s) was not canceled. Reason: %error_message","No se ha cancelado la reserva de QTY para el/los Pedido(s) seleccionado(s). Motivo: %error_message"
"QTY for selected Order(s) was reserved.","Se ha reservado QTY para el/los Pedido(s) seleccionado(s)."
"QTY for selected Order(s) was not reserved.","La cantidad para el/los pedido(s) seleccionado(s) no fue reservada."
"QTY for selected Order(s) was not reserved. Reason: %error_message","No se ha reservado QTY para los pedidos seleccionados. Motivo: %error_message"
"Shipping Information was not resend.","Información de envío no se reenvió."
"Shipping Information was not resend for some Orders.","No se ha reenviado la información de envío de algunos pedidos."
"Shipping Information has been resend.","Se ha reenviado la información de envío."
"Item was Unlinked.","El artículo estaba desvinculado."
"Account id not set.","Id de cuenta no establecido."
"Not found Account.","Cuenta no encontrada."
"From date not set.","Desde fecha no definida."
"To date not set.","Fecha no definida."
"Account must be specified.","La cuenta debe ser especificada."
"""Listing Selected Items On TikTok Shop"" task has completed.","La tarea ""Listar artículos seleccionados en la TikTok Shop"" se ha completado."
"""Listing Selected Items On TikTok Shop"" task has completed with errors.","La tarea "" Anunciar artículos seleccionados en de TikTok Shop"" ha finalizado con errores."
"""Relisting Selected Items On TikTok Shop"" task has completed.","La tarea ""Relisting artículos seleccionados en TikTok Shop"" se ha completado."
"""Relisting Selected Items On TikTok Shop"" task has completed with errors.","La tarea ""Relisting selección de artículos en la TikTok Shop"" se ha completado con errores."
"""Revising Selected Items On TikTok Shop"" task has completed.","La tarea ""Revisar artículos seleccionados en la TikTok Shop"" se ha completado."
"""Revising Selected Items On TikTok Shop"" task has completed with errors.","La tarea «Revisar artículos seleccionados en TikTok Shop» se ha completado con errores."
"""Stopping Selected Items On TikTok Shop"" task has completed.","La tarea ""Detener artículos seleccionados en la TikTok Shop"" se ha completado."
"""Stopping Selected Items On TikTok Shop"" task has completed with errors.","La tarea ""Detener artículos seleccionados en la TikTok Shop"" se ha completado con errores."
"""Removing from TikTok Shop And Removing From Listing Selected Items"" task has completed.","La tarea ""Eliminar de la TikTok Shop y eliminar de la lista los artículos seleccionados"" se ha completado."
"""Removing from TikTok Shop And Removing From Listing Selected Items""as completed with errors.","""Eliminar de TikTok Shop y eliminar de la lista los artículos seleccionados"" como completado con errores."
"You are trying to use the unknown License Key.","Está intentando utilizar una clave de licencia desconocida."
"The License Key has been updated.","La clave de licencia ha sido actualizada."
"The License has been refreshed.","Se ha renovado la licencia."
"Log for %title has been cleared.","Registro para %title ha sido limpiado."
"All Log for %title has been cleared.","Se han borrado todos los registros de %title."
"Contact Us","Contáctenos"
"Synchronization Logs","Logs de sincronización"
"Sales","Ventas"
"The TikTokShop access obtaining is currently unavailable.<br/>Reason: %error_message","La obtención de acceso a TikTokShop no está disponible actualmente.<br/>Razón: %error_message"
"Auth code was saved","Código de autenticación guardado"
"The TikTok Shop token obtaining is currently unavailable.<br/>Reason: %error_message","La obtención de tokens de la TikTok Shop no está disponible en este momento.<br/>Razón: %error_message"
"Account is not found and cannot be deleted.","No se encuentra la cuenta y no se puede eliminar."
"Account was deleted.","La cuenta fue eliminada."
"Account does not exist.","La cuenta no existe."
"Edit Account","Editar cuenta"
"Work with this Account is currently unavailable for the following reason: <br/> %error_message","El trabajo con esta Cuenta no está disponible actualmente por la siguiente razón: <br/> %error_message"
"Accounts","Cuentas"
"Account data has been refreshed.","Los datos de la cuenta han sido actualizados."
"The account data failed to be updated, please try to refresh it again.","No se han podido actualizar los datos de la cuenta. Intenta actualizarlos de nuevo."
"We were unable to save your account settings because of an error (%error_message). Please review your information and try again","No pudimos guardar la configuración de tu cuenta debido a un error (%error_message). Revisa tu información e inténtalo de nuevo"
"Account was saved","Se guardó la cuenta"
"Please select Item(s) to remove.","Seleccione los artículos que desea eliminar."
"%s record(s) were deleted.","Se han eliminado %s registro(s)."
"[%count] Category cannot be removed until it’s unassigned from the existing products.","[%count] La categoría no se puede eliminar hasta que no se desasigne de los productos existentes."
"Category not found.","Categoría no encontrada."
"Category data was saved.","Se han guardado los datos de la categoría."
"Category data has been updated.","Se han actualizado los datos de las categorías."
"Category data failed to be updated, please try again.","No se han podido actualizar los datos de la categoría, inténtelo de nuevo."
"New Listing Creation","Nueva creación de lista"
"Listing was Added","Se ha añadido el anuncio"
"Edit M2E TikTok Shop Connect Listing ""%listing_title"" Settings","Editar M2E TikTok Shop Connect Listado «%listing_title» Configuración"
"You should provide correct parameters.","Debe proporcionar los parámetros correctos."
"The Listing was saved.","La Lista se ha salvado."
"Please make sure you finish adding new Products before moving to the next step.","Asegúrese de terminar de añadir nuevos Productos antes de pasar al siguiente paso."
"All Unmanaged Items","Todos los artículos no gestionados"
"Unmanaged Listings were reset.","Se han reiniciado los Anuncios no gestionados."
"M2E TikTok Shop Connect Listing ""%listing_title""","M2E TikTok Shop Conectar Anuncio «%listing_title»"
"Listing does not exist.","El anuncio no existe."
"Listing Product does not exist.","El anuncio no existe."
"M2E TikTok Shop Connect Listing ""%s"" Log","M2E TikTok Shop Conectar Anuncio ""%s"" Log"
"M2E TikTok Shop Connect Listing Product ""%1"" Log","M2E TikTok Shop Conectar Anuncio Producto «%1» Log"
"Listings Logs & Events","Anuncios Logs & Eventos"
"Order #%order_id Log","Pedido #%order_id Log"
"Orders Logs & Events","Pedidos Logs & Eventos"
"Magento Order(s) were created.","Se crearon pedidos de Magento."
"%count Magento order(s) were not created. Please <a target=""_blank"" href=""%url"">view Log</a> for the details.","%count pedido(s) de Magento no fueron creados. Por favor, <a target=""_blank"" href=""%url"">ver el log</a> para más detalles."
"%count Magento order(s) are already created for the selected TikTok Shop order(s).","%count pedido(s) de Magento ya han sido creados para el(los) pedido(s) de TikTok Shop seleccionado(s)."
"Updating Order(s) Status to Shipped in Progress...","Actualizando el estado del(los) pedido(s) a Enviado en progreso..."
"Order(s) can not be updated for Shipped Status.","No se puede actualizar el(los) pedido(s) al estado Enviado."
"Some of Order(s) can not be updated for Shipped Status.","Algunos de los pedidos no se pueden actualizar al estado Enviado."
"View Order Details","Ver detalles del pedido"
"Policy cannot be deleted as it is used in Listing Settings.","La política no se puede eliminar ya que se utiliza en la lista de configuración."
"Policy was deleted.","La política ha sido eliminada."
"You don't have any products in Magento catalog.","No tiene ningún producto en el catálogo de Magento."
"Description Policy data is not specified.","Datos de la política de descripción no especificados."
"Magento Product does not exist.","El producto Magento no existe."
"The Product Description attribute is selected as a source of the TikTok Shop Item Description, but this Product has empty description.","El atributo Descripción del Producto está seleccionado como fuente de la Descripción del Artículo de la TikTok Shop, pero este Producto tiene una descripción vacía."
"The Product you selected is not presented in any M2E TikTok Shop Connect Listing. Thus, the values of the M2E TikTok Shop Connect Attribute(s), which are used in the Item Description, will be ignored and displayed like #attribute label#. Please, change the Product ID to preview the data.","El producto que seleccionaste no está presente en ninguna lista de M2E TikTok Shop Connect. Por lo tanto, los valores de los atributos de M2E TikTok Shop Connect, que se utilizan en la descripción del artículo, serán ignorados y se mostrarán como #etiqueta del atributo#. Por favor, cambia la ID del producto para previsualizar los datos."
"Preview Description","Descripción de vista previa"
"Policy does not exist.","La política no existe."
"Edit ""%template_title"" Synchronization Policy","Editar la política de sincronización de ""%template_title"""
"Add Synchronization Policy","Añadir política de sincronización"
"Edit ""%template_title"" Description Policy","Editar la política de descripción de ""%template_title"""
"Add Description Policy","Añadir Política de Descripción"
"Edit ""%template_title"" Selling Policy","Editar la política de venta ""%template_title"""
"Add Selling Policy","Añadir política de venta"
"Policy was not saved.","Política no guardada."
"Policy was saved.","Política guardada."
"Configuration of %channel Integration","Configuración de integración de %channel"
"Auth Code is not defined","Código de autenticación no definido"
"Account Add Entity failed.","Error al añadir la entidad cuenta."
"The TikTok Shop token obtaining is currently unavailable.<br/>Reason: %error_message</br>Go to the <a href=""%url"" target=""_blank"">License Page</a>.","La obtención del token de TikTok Shop no está disponible en este momento.<br/>Razón: %error_message</br>Ve a la <a href=""%url"" target=""_blank"">Página de Licencias</a>."
"You should fill all required fields.","Debe rellenar todos los campos obligatorios."
"License Creation is failed. Please contact M2E TikTok Shop Connect Support for resolution.","La creación de la licencia ha fallado. Póngase en contacto con el soporte de M2E TikTok Shop Connect para resolver el problema."
"Requested store is not found","Tienda solicitada no se encuentra"
"Website with id %value does not exist.","El sitio web con id %value no existe."
"Category with %category_id doen't exist","La categoría con %category_id no existe"
"Category of level 1 must be provided.","Debe proporcionarse la categoría de nivel 1."
"Store with %store_id doesn't exist.","La tienda con %store_id no existe."
"Website with id %value does not exists.","Sitio web con id %value no existe."
"Store with %code already exists.","La tienda con %code ya existe."
"Group with id %group_id doesn't belong towebsite with %site_id.","El grupo con id %group_id no pertenece al sitio web con %site_id."
"Website with code %value already exists","Sitio web con código %value ya existe"
"Fatal error occurred","Se produjo un error fatal"
"string","string"
"here","aquí"
"TikTok Shop Integration","Integración de TikTok"
"%1 doesn't extends \M2E\TikTokShop\Model\ActiveRecord\AbstractModel","%1 no extiende \M2E\TikTokShop\Model\ActiveRecord\AbstractModel"
"M2E TikTok Shop Connect Server connection failed. Find the solution <a target=""_blank"" href=""%url"">here</a>","La conexión al servidor de M2E TikTok Shop Connect falló. Encuentra la solución <a target=""_blank"" href=""%url"">aquí</a>"
"Internal Server Error(s) [%error_message]","Error interno del Servidor [%error_message]"
"The ""Reserve Cancellation"" Action for Account ""%1"" was completed with error.","La acción de ""Cancelación de Reserva"" para la cuenta ""%1"" se completó con error."
"M2E TikTok Shop Connect Health Status Notification","Notificación del estado de salud de M2E TikTok Shop Connect"
"Something went wrong with your M2E TikTok Shop Connect running and some actions from your side are required. You can find detailed information in <a target=""_blank"" href=""%url"">M2E TikTok Shop Connect Health Status Center</a>.","Algo salió mal con la ejecución de M2E TikTok Shop Connect y se requieren algunas acciones de tu parte. Puedes encontrar información detallada en el <a target=""_blank"" href=""%url"">Centro de Estado de Salud de M2E TikTok Shop Connect</a>."
"Some MySQL tables or their columns are missing. It can cause critical issues in Module work. Please contact Support at <a href=""mailto:support@m2epro.com"">support@m2epro.com</a> for a solution.","Faltan algunas tablas MySQL o sus columnas. Puede causar problemas críticos en el trabajo del módulo. Por favor, póngase en contacto con Soporte en <a href=""mailto:support@m2epro.com"">support@m2epro.com</a> para una solución."
"Some MySQL tables or their columns may have incorrect definitions. If you face any unusual behavior of the Module, please contact Support at <a href=""mailto:support@m2epro.com"">support@m2epro.com</a>.","Algunas tablas MySQL o sus columnas pueden tener definiciones incorrectas. Si se encuentra con algún comportamiento inusual del Módulo, por favor contacte con Soporte en <a href=""mailto:support@m2epro.com"">support@m2epro.com</a>."
"During the last 24 hours, M2E TikTok Shop Connect has not created Magento orders for <strong>%failed_orders_count</strong> imported Channel orders. See the <a target=""_blank"" href=""%url"">Order Log</a> for more details.","Durante las últimas 24 horas, M2E TikTok Shop Connect no ha creado órdenes de Magento para <strong>%failed_orders_count</strong> órdenes importadas del canal. Consulta el <a target=""_blank"" href=""%url"">Log de pedidos</a> para más detalles."
"Problems","Problemas"
"Crashed Tables","Tablas bloqueadas"
"Scheme (tables, columns)","Esquema (tablas, columnas)"
"Server","Servidor"
"System Log","Registro del sistema"
"Magento Order Creation","Creación de pedido de Magento"
"M2E TikTok Shop Connect has recorded <b>%1</b> messages to the System Log during the last hour. <a target=""_blank"" href=""%2"">Click here</a> for the details.","M2E TikTok Shop Connect ha registrado <b>%1</b> mensajes en el registro del sistema durante la última hora. <a target=""_blank"" href=""%2"">Haz clic aquí</a> para más detalles."
"M2E TikTok Shop Connect has recorded <b>%1</b> messages to the System Log during the last hour. <a href=""%2"">Click here</a> for the details.","M2E TikTok Shop Connect ha registrado <b>%1</b> mensajes en el registro del sistema durante la última hora. <a href=""%2"">Haz clic aquí</a> para más detalles."
"Product was Added","Producto fue añadido"
"Item was Moved","El artículo fue movido"
"The Product was not moved because it already exists in the selected Listing","El producto no se ha movido porque ya existe en el anuncio seleccionado"
"Item was moved from Listing %previous_listing_name.","Artículo fue movido de la lista %previous_listing_name."
"Product %product_title was moved to Listing %current_listing_name","El producto %product_title se ha movido al anuncio %current_listing_name"
"Listing was deleted","Anuncio eliminado"
"Item was Moved.","El artículo fue movido."
"Item was deleted from Magento.","El elemento fue eliminado de Magento."
"Item was deleted from Magento and stopped on the Channel.","El elemento fue eliminado de Magento y se detuvo en el Canal."
"SKU %sku: Item was deleted from Magento.","SKU %sku: El elemento fue eliminado de Magento."
"You cannot proceed because the Wizard has already been completed.","No puedes continuar porque el asistente ya ha sido completado."
"M2E TikTok Shop Connect Notes","M2E TikTok Shop Connect notas"
"is","es"
"is not","no es"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"less than","menor que"
"contains","contiene"
"does not contain","no contiene"
"is one of","es uno de"
"is not one of","no es uno de"
"is empty","esta vacio"
"is not empty","no está vacío"
"Please choose a Condition to add...","Elija una condición para añadir..."
"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributo del producto"
"ALL","TODOS"
"ANY","CUALQUIER"
"TRUE","TRUE"
"FALSE","FALSO"
"If %1 of these Conditions are %2:","Si %1 de estas condiciones son %2:"
"If %1 of these Conditions are %1:","Si %1 de estas condiciones son %1:"
"Attribute Set","Conjunto de atributos"
"Open Chooser","Abrir selector"
"Product Type","Tipo de producto"
"A new version of M2E TikTok Shop Connect is now available! Upgrade now to access the latest features and improvements.","Ya está disponible la nueva versión de M2E TikTok Shop Connect. Actualiza ahora para acceder a las últimas funciones y mejoras."
"Product creation is disabled in ""Account > Orders > Product Not Found"".","La creación de productos está desactivada en ""Cuenta > Pedidos > Producto no encontrado""."
"Custom Note was added to the corresponding TikTok Shop order: %note.","Se ha añadido una nota personalizada al pedido correspondiente de la TikTok Shop: %nota."
"Custom Note for the corresponding TikTok Shop order was deleted.","Se ha eliminado la nota personalizada del pedido correspondiente de la TikTok Shop."
"Custom Note for the corresponding TikTok Shop order was updated: %note.","Se actualizó la nota personalizada para el pedido correspondiente de la TikTok Shop: %note."
"TikTok Shop Delivery Option","Opción de entrega en la TikTok Shop"
"<b>Attention!</b> The Order Prices are incorrect. Conversion was not performed as ""%order_currency"" Currency is not enabled. Default Currency ""%store_currency"" was used instead. Please, enable Currency in System > Configuration > Currency Setup.","<b>¡Atención!</b> Los precios de los pedidos son incorrectos. No se realizó la conversión ya que la moneda ""%order_currency"" no está habilitada. En su lugar, se utilizó la moneda predeterminada ""%store_currency"". Por favor, habilite la moneda en Sistema > Configuración > Configuración de Moneda."
"<b>Attention!</b> The Order Prices are incorrect. Conversion was not performed as there's no rate for ""%order_currency"". Default Currency ""%store_currency"" was used instead. Please, add Currency convert rate in System > Manage Currency > Rates.","<b>¡Atención!</b> Los precios de los pedidos son incorrectos. No se realizó la conversión ya que no hay una tasa para ""%order_currency"". Se utilizó la moneda predeterminada ""%store_currency"" en su lugar. Por favor, agregue la tasa de conversión de moneda en Sistema > Gestionar Moneda > Tasas."
"Because the Order Currency is different from the Store Currency, the conversion from <b>""%order_currency"" to ""%store_currency""</b> was performed using <b>%currency_rate</b> as a rate.","Debido a que la moneda del pedido es diferente de la moneda de la tienda, se realizó la conversión de <b>""%order_currency"" a ""%store_currency""</b> utilizando <b>%currency_rate</b> como tasa."
"Active","Activo"
"Incomplete","Incompleto"
"Inactive","Inactivo"
"Product was deleted and is no longer available on the channel","El producto fue eliminado y ya no está disponible en el canal"
"Product status was changed on TikTok Shop. Please check the reasons and suggestions for improving the product information on the channel.","El estatus del producto ha cambiando en TikTok Shop. Por favor, compruebe las razones y sugerencias para mejorar la información del producto en el canal."
"Item Status was changed from ""%from"" to ""%to"".","El estado del artículo fue cambiado de ""%from"" a ""%to""."
"Item was Removed","El artículo fue eliminado"
"Package Weight not configured","Peso del paquete no configurado"
"Package Length not configured","Longitud del paquete no configurada"
"Package Width not configured","Anchura de paquete no configurada"
"Package Height not configured","Altura del paquete no configurada"
"%1: Attribute %2 were not found in this Product and its value was not sent.","%1: El atributo %2 no se encontró en este Producto y su valor no fue enviado."
"Package weight","Peso del paquete"
"Package length","Longitud del paquete"
"Package width","Anchura del paquete"
"Package height","Altura del paquete"
"Package Dimensions are missing. To list the Product, please make sure that the Package settings are correct.","Faltan las dimensiones del paquete. Para listar el producto, asegúrese de que la configuración del paquete es correcta."
"Package Weight is missing. To list the Product, please make sure that the Package settings are correct.","Falta el peso del paquete. Para listar el producto, asegúrese de que la configuración del paquete es correcta."
"Item QTY was changed from %from to %to.","QTY del artículo se cambió de %from a %to."
"SKU %sku: Item QTY was changed from %from to %to.","SKU %sku: Artículo QTY fue cambiado de %from a %to."
"Item Price was changed from %from to %to.","El precio del artículo se cambió de %from a %to."
"SKU %sku: Item Price was changed from %from to %to.","SKU %sku: El precio del artículo se cambió de %from a %to."
"SKU %sku: Item Status was changed from %from to %to.","SKU %sku: El estado del artículo se cambió de %from a %to."
"An item needs to be selected. Select and try again.","Un elemento debe ser seleccionado. Seleccione y vuelva a intentarlo."
"%1 doesn't extends AbstractFeature","%1 no extiende AbstractCaracterística"
"Unable cancel order. Order items not valid.","No se puede cancelar el pedido. Los artículos del pedido no son válidos."
"%1: Attribute(s) %2 were not found in this Product and its value was not sent.","%1: Atributo(s) %2 no fueron encontrados en este Producto y su valor no fue enviado."
"Brand","Marca"
"Certificates","Certificados"
"Main Image / Gallery Images","Imagen principal / Galería de imágenes"
"Size Chart","Guía de tallas"
"Item(s) were not listed. The List rules set in Synchronization Policy are not met.","No se han listado los artículos. No se cumplen las reglas de Lista establecidas en la Política de Sincronización."
"Item(s) were not revised. No relevant product changes were detected to be updated on the channel.","No se revisaron los artículos. No se detectaron cambios relevantes del producto para ser actualizados en el canal."
"Item(s) were not relisted. The Relist rules set in Synchronization Policy are not met.","Los artículos no se han vuelto a poner en la lista. No se cumplen las normas de nueva inclusión en la lista establecidas en la política de sincronización."
"Item(s) were not stopped. The Stop rules set in Synchronization Policy are not met.","Los artículos no se han detenido. No se cumplen las reglas de detención establecidas en la política de sincronización."
"Item is Listed or not available","El artículo está en la lista o no está disponible"
"Product Images are missing. To list the Product, please make sure that the Image settings in the Description policy are correct and the Images are available in the Magento Product.","Faltan imágenes del producto. Para listar el Producto, por favor asegúrese de que los ajustes de Imagen en la política de Descripción son correctos y las Imágenes están disponibles en el Producto Magento."
"TTS Values","Valores TTS"
"Customer has requested return of the Item %name. Return reason: %reason.","El cliente ha solicitado la devolución del artículo %name. Motivo de la devolución: %reason."
"Show TikTok Shop Order","Mostrar pedido de TikTok Shop"
"<p>You are about to delete your TikTok Shop seller account from M2E TikTok Shop Connect. This will remove the
account-related Listings and Products from the extension and disconnect the synchronization.
Your listings on the channel will <b>not</b> be affected.</p>
<p>Please confirm if you would like to delete the account.</p>
<p>Note: once the account is no longer connected to your M2E TikTok Shop Connect, please remember to delete it from
<a href=""%href"">M2E Accounts</a></p>","<p>Está a punto de eliminar su cuenta de vendedor de TikTok Shop de M2E TikTok Shop Connect. Esto eliminará las listas y productos relacionados con la cuenta de la extensión y desconectará la sincronización. Sus listados en el canal <b>no</b> se verán afectados.</p> <p>Por favor, confirme si desea eliminar la cuenta.</p> <p>Nota: una vez que la cuenta ya no esté conectada a su M2E TikTok Shop Connect, recuerde eliminarla de <a href=""%href"">M2E Accounts</a>.</p>"
"Go to Listing","Ir al anuncio"
"Simple Product","Producto simple"
"Configurable Product","Producto Configurable"
"You need to choose Categories for Products in order to list them on TikTok Shop.","Usted necesita elegir Categorías para los Productos con el fin de listarlos en la TikTok Shop."
"Attributes","Atributos"
"Please select Category.","Por favor, seleccione la categoría."
"System | Current Time","Sistema | Hora actual"
"Module [Public]","Módulo [Public]"
"Module [Setup]","Módulo [Setup]"
"Module Environment","Entorno del módulo"
"Maintenance","Mantenimiento"
"enabled","activado"
"change","cambiar"
"Core Resource","Recurso principal"
"set","set"
"PHP","PHP"
"[info]","[info]"
"Server API","Servidor API"
"Memory Limit","Límite de memoria"
"Max Execution Time","Tiempo máximo de ejecución"
"Unlimited","Ilimitado"
"MySQL","MySQL"
"MySQL Database | Tables Prefix","Base de datos MySQL | Prefijo de tablas"
"Extension Key","Clave de extensión"
"Domain [valid | real]","Dominio [válido | real]"
"IP [valid | real]","IP [válida | real]"
"Directory [root]","Directorio [root]"
"Directory [m2e]","Directorio [m2e]"
"[read more]","[leer más]"
